# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\rafae\OneDrive\Documents\Workspace\Faculdade\Processador\pinagem\DoomCpu.csv
# Generated on: Wed Jul 02 15:59:13 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
clock,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
enter_n,Input,PIN_M23,6,B6_N2,PIN_AB22,2.5 V,,,,,
entrada[0],Input,PIN_AB28,5,B5_N1,PIN_Y16,2.5 V,,,,,
entrada[1],Input,PIN_AC28,5,B5_N2,PIN_AD21,2.5 V,,,,,
entrada[2],Input,PIN_AC27,5,B5_N2,PIN_AE16,2.5 V,,,,,
entrada[3],Input,PIN_AD27,5,B5_N2,PIN_AD15,2.5 V,,,,,
entrada[4],Input,PIN_AB27,5,B5_N1,PIN_AE15,2.5 V,,,,,
entrada[5],Input,PIN_AC26,5,B5_N2,PIN_AC19,2.5 V,,,,,
entrada[6],Input,PIN_AD26,5,B5_N2,PIN_AF16,2.5 V,,,,,
entrada[7],Input,PIN_AB26,5,B5_N1,PIN_AD19,2.5 V,,,,,
entrada[8],Input,PIN_AC25,5,B5_N2,PIN_AF15,2.5 V,,,,,
entrada[9],Input,PIN_AB25,5,B5_N1,PIN_AF24,2.5 V,,,,,
entrada[10],Input,PIN_AC24,5,B5_N2,PIN_AE21,2.5 V,,,,,
entrada[11],Input,PIN_AB24,5,B5_N2,PIN_AF25,2.5 V,,,,,
entrada[12],Input,PIN_AB23,5,B5_N2,PIN_AC22,2.5 V,,,,,
entrada[13],Input,PIN_AA24,5,B5_N2,PIN_AE22,2.5 V,,,,,
entrada[14],Input,PIN_AA23,5,B5_N2,PIN_AF21,2.5 V,,,,,
