# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\rafae\OneDrive\Documents\Workspace\Faculdade\Processador\pinagem\DoomCpuOnline.csv
# Generated on: Wed Jul 02 15:54:56 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
blue[7],Output,PIN_D12,8,B8_N0,PIN_D12,2.5 V,,,,,
blue[6],Output,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,,
blue[5],Output,PIN_C12,8,B8_N0,PIN_C12,2.5 V,,,,,
blue[4],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,,
blue[3],Output,PIN_B11,8,B8_N0,PIN_B11,2.5 V,,,,,
blue[2],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,,
blue[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,,
blue[0],Output,PIN_B10,8,B8_N0,PIN_B10,2.5 V,,,,,
clock,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
enter_n,Input,PIN_AB22,4,B4_N0,PIN_AB22,2.5 V,,,,,
entrada[17],Input,PIN_AG25,4,B4_N1,PIN_AG25,2.5 V,,,,,
entrada[16],Input,PIN_AD22,4,B4_N0,PIN_AD22,2.5 V,,,,,
entrada[15],Input,PIN_AF22,4,B4_N0,PIN_AF22,2.5 V,,,,,
entrada[14],Input,PIN_AF21,4,B4_N1,PIN_AF21,2.5 V,,,,,
entrada[13],Input,PIN_AE22,4,B4_N0,PIN_AE22,2.5 V,,,,,
entrada[12],Input,PIN_AC22,4,B4_N0,PIN_AC22,2.5 V,,,,,
entrada[11],Input,PIN_AF25,4,B4_N1,PIN_AF25,2.5 V,,,,,
entrada[10],Input,PIN_AE21,4,B4_N1,PIN_AE21,2.5 V,,,,,
entrada[9],Input,PIN_AF24,4,B4_N1,PIN_AF24,2.5 V,,,,,
entrada[8],Input,PIN_AF15,4,B4_N2,PIN_AF15,2.5 V,,,,,
